"Keyword","Average Sales","Search Per Month","Search Per Month Color","Competition Score","Competition Score Color"
"psychic suspense thriller with demons","$ 624","<100","Red",40,"Green"
"occult suspense demons","$ 12","<100","Red",20,"Green"
"occult suspense with demons","$ 7","<100","Red",20,"Green"
"sin and chocolate","$ 3,552","1,155","Yellow",39,"Green"
"ghost suspense fantasy thrillers","$ 231","216","Yellow",49,"Yellow"
"dark paranormal fantasy ghost","$ 3,920","227","Yellow",33,"Green"
"paranormal ghost dark fantasy","$ 3,920","231","Yellow",33,"Green"
"dark fantasy paranormal ghost","$ 3,920","227","Yellow",33,"Green"
"dark paranormal fantasy ghosts","$ 3,920","324","Green",33,"Green"
"occult fantasy demon","$ 1,378","372","Yellow",45,"Yellow"
"badass female demon","$ 299","294","Yellow",4,"Green"
"fiery dark fantasy demon","$ 3,120","<100","Red",1,"Green"
"paranormal bounty hunter series","$ 377","234","Yellow",35,"Green"
"psychic suspense fantasy thriller","$ 602","<100","Red",33,"Green"
"badass female demon fantasy","$ 596","<100","Red",1,"Green"
"supernatural angel fantasy","$ 267","<100","Red",33,"Green"
"female supernatural demon fantasy","$ 801","<100","Red",40,"Green"
"dark fantasy paranormal monster","$ 743","<100","Red",20,"Green"
"supernatural demon fantasy female","$ 801","<100","Red",40,"Green"
"dark paranormal monster fantasy","$ 749","<100","Red",20,"Green"
"dark paranormal bounty hunter","$ 74","<100","Red",10,"Green"
"demon occult thriller","$ 54","<100","Red",5,"Green"
"dark paranormal bounty hunter series","$ 91","<100","Red",30,"Green"
"dark psychic monster fantasy","$ 113","<100","Red",20,"Green"
"occult suspense with psychics","$ 1,477","<100","Red",61,"Yellow"
"occult demon fantasy thriller","$ 173","<100","Red",20,"Green"
"zombie romantasy","$ 21","481","Red",1,"Green"
"occult suspense demon","$ 20","<100","Red",20,"Green"
"occult suspense with psychics and","$ 14","<100","Red",20,"Green"
"spooky psychic suspense thriller","$ 759","<100","Red",1,"Green"
"fiery female character","$ 9,282","<100","Red",1,"Green"
"mother of all monsters","$ 667","<100","Red",10,"Green"
"deadly sins with ghosts","$ 22","<100","Red",1,"Green"
"mother of all ghosts","$ 776","<100","Red",43,"Yellow"
"supernatural haunted demon","$ 267","<100","Red",20,"Green"
"psychic suspense thriller demon","$ 624","<100","Red",20,"Green"
